Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
4613218, 1, 1, 0, 1, 0, 1, 
4626551, 1, 1, 0, 1, 0, 1, 
4639884, 1, 1, 0, 1, 0, 1, 
4653217, 1, 1, 0, 1, 0, 1, 
4666550, 1, 1, 0, 1, 0, 1, 
4679883, 1, 1, 0, 1, 0, 1, 
4693216, 1, 1, 0, 1, 0, 1, 
4706549, 1, 1, 0, 1, 0, 1, 
4719882, 1, 1, 0, 1, 0, 1, 
4733215, 1, 1, 0, 1, 0, 1, 
4746548, 1, 1, 0, 1, 0, 1, 
4759881, 1, 1, 0, 1, 0, 1, 
4773214, 1, 1, 0, 1, 0, 1, 
4786547, 1, 1, 0, 1, 0, 1, 
4799880, 1, 1, 0, 1, 0, 1, 
4813213, 1, 1, 0, 1, 0, 1, 
4826546, 1, 1, 0, 1, 0, 1, 
4839879, 1, 1, 0, 1, 0, 1, 
4853212, 1, 1, 0, 1, 0, 1, 
4866545, 1, 1, 0, 1, 0, 1, 
4879878, 1, 1, 0, 1, 0, 1, 
4893211, 1, 1, 0, 1, 0, 1, 
4906544, 1, 1, 0, 1, 0, 1, 
4919877, 1, 1, 0, 1, 0, 1, 
4933210, 1, 1, 0, 1, 0, 1, 
4946543, 1, 1, 0, 1, 0, 1, 
4959876, 1, 1, 0, 1, 0, 1, 
4973209, 1, 1, 0, 1, 0, 1, 
4986542, 1, 1, 0, 1, 0, 1, 
4999875, 1, 1, 0, 1, 0, 1, 
5013208, 1, 1, 0, 1, 0, 1, 
5026541, 1, 1, 0, 1, 0, 1, 
5039874, 1, 1, 0, 1, 0, 1, 
5053207, 1, 1, 0, 1, 0, 1, 
5066540, 1, 1, 0, 1, 0, 1, 
5079873, 1, 1, 0, 1, 0, 1, 
5093206, 1, 1, 0, 1, 0, 1, 
5106539, 1, 1, 0, 1, 0, 1, 
5119872, 1, 1, 0, 1, 0, 1, 
5133205, 1, 1, 0, 1, 0, 1, 
5146538, 1, 1, 0, 1, 0, 1, 
5159871, 1, 1, 0, 1, 0, 1, 
5173204, 1, 1, 0, 1, 0, 1, 
5186537, 1, 1, 0, 1, 0, 1, 
5199870, 1, 1, 0, 1, 0, 1, 
